parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
rep_mu,5,0.0949089397000814,0.5694456279452901,7.380121047617649e-08,2.220446049250313e-16,0.6940989312888447,0.95,0.7000000000000001,glucose,37
rep_mu,6,0.03169625676639121,0.005961318258264736,9.364663555722075e-07,2.220446049250313e-16,0.1459184158458653,0.95,1.0,glucose,37
rep_mu,7,0.018678821840208103,2.546748367748819e-09,3.135672832499381e-10,2.220446049250313e-16,0.0850729119692969,0.95,2.0,glucose,37
rep_mu,8,0.011878576312564953,3.26405569239796e-14,8.185518929337832e-11,2.220446049250313e-16,0.019242046284161818,0.95,3.0,glucose,37
rep_mu,9,0.026733161774219555,2.2941648580854235e-12,1.2667503379582001e-08,2.220446049250313e-16,0.18480053759437387,0.95,4.0,glucose,37
rep_mu,10,0.01528991816258081,3.404260779937829e-07,1.1479969197480955e-09,2.220446049250313e-16,0.05862601281844437,0.95,7.0,glucose,37
rep_mu,11,0.016233293515854213,4.440892098500626e-16,1.9118484573255046e-11,2.220446049250313e-16,0.028575616935213266,0.95,10.0,glucose,37
rep_sigma,1,7.624024113511076,5.121388110485397,7.249782530382417,4.160743857064084,11.785200578670683,0.95,0.09999999999999999,glucose,37
rep_sigma,2,7.379846490644622,8.445244596804612,7.072812547235591,4.7854788095064515,10.831224782907212,0.95,0.19999999999999998,glucose,37
rep_sigma,3,13.355506220260995,13.876750308872065,12.371006917630961,7.334490994784902,21.25051707777089,0.95,0.3,glucose,37
rep_sigma,4,20.323656931668147,15.974846255317752,18.428028079415036,11.435730548220846,33.57367234439757,0.95,0.39999999999999997,glucose,37
rep_sigma,5,70.76023602875492,65.05527864401596,68.57161131339544,48.670514001870245,98.6588687769349,0.95,0.7000000000000001,glucose,37
rep_sigma,6,90.37773275073167,78.27503879296829,88.25979014658279,60.47231438044336,137.40225105396016,0.95,1.0,glucose,37
rep_sigma,7,80.90579635933054,78.03821879273863,80.16973466348225,41.25510177254385,115.04719831515382,0.95,2.0,glucose,37
rep_sigma,8,107.4371175125279,97.00749573690709,104.87716296103571,64.20746449743152,154.91345224701402,0.95,3.0,glucose,37
rep_sigma,9,118.59250907626631,119.16542995204466,111.44508445849094,84.06335379682253,177.34385926528518,0.95,4.0,glucose,37
rep_sigma,10,150.93270984623334,127.52931127058979,146.23244802213213,92.3042528603482,236.75919895573185,0.95,7.0,glucose,37
rep_sigma,11,146.80296566061045,105.24869119593569,144.16079808826356,80.14700439243028,221.1385068737657,0.95,10.0,glucose,37
empirical_F,1,0.4622312773722443,0.47217260376218323,0.46470947720392364,0.38139225766202617,0.5361952192679822,0.95,0.09999999999999999,glucose,37
empirical_F,2,-0.21432223559798072,-0.27118890073153945,-0.20630650630911038,-0.7093084229225226,0.2036843971932233,0.95,0.19999999999999998,glucose,37
empirical_F,3,-1.2703507291335696,-1.3373102184777856,-1.2384168037776395,-1.7182190883399846,-0.8459013603105442,0.95,0.3,glucose,37
empirical_F,4,-1.496252746685145,-1.5282202110896372,-1.4768942916658043,-2.0290660247326495,-1.0137606246039264,0.95,0.39999999999999997,glucose,37
empirical_F,5,-2.6565279414375476,-2.646763694238745,-2.6445461418885,-2.9732194130409852,-2.357281150568231,0.95,0.7000000000000001,glucose,37
