strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,741.0,1082.076923076923,194.68960863697706,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9920337982223052
delta,312.0,1233.7724358974358,194.74679487179486,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1572086949024893
delta,451.0,1503.9667405764967,196.2239467849224,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.4514119678216024
delta,413.0,1164.0702179176756,195.42372881355934,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0813128662182956
delta,406.0,1199.1773399014778,196.3152709359606,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1195395423974015
delta,324.0,1207.0833333333333,196.2962962962963,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1281480478434793
delta,911.0,981.338090010977,190.18770581778264,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8823434980020346
delta,572.0,949.5804195804196,197.44405594405595,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8477638994718047
delta,795.0,901.9069182389937,191.61509433962263,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7958542186115029
delta,526.0,722.8536121673004,187.20152091254752,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.6008905655624451
delta,938.0,1075.1151385927506,194.79744136460553,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9844534023918532
