I_1,I_2,area_1,area_2,bg_val,fractional_birth_area,date,run_no,temp,carbon,operator
101.53993610223642,101.625,313.0,272.0,101.5187364170561,0.5526838966202783,20181026,1,37,acetate,O2
101.55076923076923,101.51418439716312,325.0,282.0,101.5187364170561,0.5335628227194492,20181026,1,37,acetate,O2
101.55737704918033,101.52622673434855,488.0,591.0,101.49409887565459,0.5771349862258953,20181026,1,37,acetate,O2
101.52466367713005,101.55601659751038,446.0,482.0,101.49409887565459,0.4643423137876387,20181026,1,37,acetate,O2
101.67336683417085,101.5575,398.0,400.0,101.49409887565459,0.5748502994011976,20181026,1,37,acetate,O2
101.57575757575758,101.66821345707656,462.0,431.0,101.49409887565459,0.5300146412884333,20181026,1,37,acetate,O2
101.56713426853707,101.5056603773585,499.0,530.0,101.49409887565459,0.517426273458445,20181026,1,37,acetate,O2
101.59052924791087,101.6006711409396,359.0,298.0,101.49409887565459,0.5187406296851574,20181026,1,37,acetate,O2
101.61881188118812,101.56022944550669,606.0,523.0,101.49409887565459,0.5047489823609227,20181026,1,37,acetate,O2
101.51624548736461,101.53311258278146,277.0,302.0,101.49409887565459,0.4784110535405872,20181026,1,37,acetate,O2
101.5,101.63829787234043,322.0,282.0,101.49409887565459,0.5251798561151079,20181026,1,37,acetate,O2
101.65234375,101.56088560885608,256.0,271.0,101.49409887565459,0.488,20181026,1,37,acetate,O2
101.64566929133858,101.59546925566343,254.0,309.0,101.50574798008867,0.4863157894736842,20181026,1,37,acetate,O2
101.52,101.51865671641791,300.0,268.0,101.50574798008867,0.5461847389558233,20181026,1,37,acetate,O2
101.51884057971014,101.57491289198606,345.0,287.0,101.50574798008867,0.5487804878048781,20181026,1,37,acetate,O2
101.52791878172589,101.55441478439425,394.0,487.0,101.50574798008867,0.5042918454935622,20181026,1,37,acetate,O2
101.5530303030303,101.5420054200542,396.0,369.0,101.50574798008867,0.48484848484848486,20181026,1,37,acetate,O2
101.53932584269663,101.58531746031746,534.0,504.0,101.50574798008867,0.5097765363128491,20181026,1,37,acetate,O2
101.5159420289855,101.57098765432099,345.0,324.0,101.50574798008867,0.5121951219512195,20181026,1,37,acetate,O2
101.60504201680672,101.62049861495845,357.0,361.0,101.50574798008867,0.4809437386569873,20181026,1,37,acetate,O2
101.55764075067025,101.54654654654655,373.0,333.0,101.50574798008867,0.5038402457757296,20181026,1,37,acetate,O2
101.53276353276354,101.51373626373626,351.0,364.0,101.50574798008867,0.4991896272285251,20181026,1,37,acetate,O2
101.51262626262626,101.51898734177215,396.0,395.0,101.50574798008867,0.5175438596491229,20181026,1,37,acetate,O2
101.57821229050279,101.58675078864353,358.0,317.0,101.50574798008867,0.5057915057915058,20181026,1,37,acetate,O2
101.58495145631068,101.51482479784367,412.0,371.0,101.50574798008867,0.5226537216828478,20181026,1,37,acetate,O2
101.52616279069767,101.51041666666667,344.0,384.0,101.50574798008867,0.5232558139534884,20181026,1,37,acetate,O2
101.62917933130699,101.55952380952381,329.0,336.0,101.50574798008867,0.5097001763668431,20181026,1,37,acetate,O2
101.58064516129032,101.52400835073068,465.0,479.0,101.50574798008867,0.48186528497409326,20181026,1,37,acetate,O2
101.58561643835617,101.62462462462463,292.0,333.0,101.50574798008867,0.48418491484184917,20181026,1,37,acetate,O2
101.59288537549408,101.53968253968254,506.0,441.0,101.50574798008867,0.5365551425030979,20181026,1,37,acetate,O2
101.63485477178423,101.54258675078864,241.0,317.0,101.50574798008867,0.43189964157706096,20181026,1,37,acetate,O2
