date,carbon,temp_C,operator,colony_idx,area,time_min
20181024,glucose,37,O2,7,951,355
20181024,glucose,37,O2,7,1019,360
20181024,glucose,37,O2,8,372,5
20181024,glucose,37,O2,8,368,10
20181024,glucose,37,O2,8,377,15
20181024,glucose,37,O2,8,401,20
20181024,glucose,37,O2,8,399,25
20181024,glucose,37,O2,8,417,30
20181024,glucose,37,O2,8,435,35
20181024,glucose,37,O2,8,440,40
20181024,glucose,37,O2,8,463,45
20181024,glucose,37,O2,8,466,50
20181024,glucose,37,O2,8,508,55
20181024,glucose,37,O2,8,516,60
20181024,glucose,37,O2,8,523,65
20181024,glucose,37,O2,8,578,70
20181024,glucose,37,O2,8,616,75
20181024,glucose,37,O2,8,659,80
20181024,glucose,37,O2,8,680,85
20181024,glucose,37,O2,8,717,90
20181024,glucose,37,O2,8,803,95
20181024,glucose,37,O2,8,895,100
20181024,glucose,37,O2,8,980,105
20181024,glucose,37,O2,8,1041,110
20181024,glucose,37,O2,8,1118,115
20181024,glucose,37,O2,8,1209,120
20181024,glucose,37,O2,8,1300,125
20181024,glucose,37,O2,8,1410,130
20181024,glucose,37,O2,8,1502,135
20181024,glucose,37,O2,8,1590,140
20181024,glucose,37,O2,8,1692,145
20181024,glucose,37,O2,8,1812,150
20181024,glucose,37,O2,8,1913,155
20181024,glucose,37,O2,8,2047,160
20181024,glucose,37,O2,8,2214,165
20181024,glucose,37,O2,8,2360,170
20181024,glucose,37,O2,8,2520,175
20181024,glucose,37,O2,8,2700,180
20181024,glucose,37,O2,8,2849,185
20181024,glucose,37,O2,8,3025,190
20181024,glucose,37,O2,8,3207,195
20181024,glucose,37,O2,8,3402,200
20181024,glucose,37,O2,8,3545,205
20181024,glucose,37,O2,8,3695,210
20181024,glucose,37,O2,8,3880,215
20181024,glucose,37,O2,8,4063,220
20181024,glucose,37,O2,8,4333,225
20181024,glucose,37,O2,8,4612,230
20181024,glucose,37,O2,8,4903,235
20181024,glucose,37,O2,8,5149,240
20181024,glucose,37,O2,8,5420,245
20181024,glucose,37,O2,8,5620,250
20181024,glucose,37,O2,8,5891,255
20181024,glucose,37,O2,8,6204,260
20181024,glucose,37,O2,8,6439,265
20181024,glucose,37,O2,8,6668,270
20181024,glucose,37,O2,8,6916,275
20181024,glucose,37,O2,8,7349,280
20181024,glucose,37,O2,8,7603,285
20181024,glucose,37,O2,8,7953,290
20181024,glucose,37,O2,8,8233,295
20181024,glucose,37,O2,8,8613,300
20181024,glucose,37,O2,8,9003,305
20181024,glucose,37,O2,8,9373,310
20181024,glucose,37,O2,8,9739,315
20181024,glucose,37,O2,8,10121,320
20181024,glucose,37,O2,8,10514,325
20181024,glucose,37,O2,8,10893,330
20181024,glucose,37,O2,8,11273,335
20181024,glucose,37,O2,8,11566,340
20181024,glucose,37,O2,8,11743,345
20181024,glucose,37,O2,8,12628,350
20181024,glucose,37,O2,8,13373,355
20181024,glucose,37,O2,8,14006,360
20181024,glucose,37,O2,9,475,5
20181024,glucose,37,O2,9,492,10
20181024,glucose,37,O2,9,470,15
20181024,glucose,37,O2,9,483,20
20181024,glucose,37,O2,9,485,25
20181024,glucose,37,O2,9,505,30
20181024,glucose,37,O2,9,511,35
20181024,glucose,37,O2,9,532,40
20181024,glucose,37,O2,9,550,45
20181024,glucose,37,O2,9,602,50
20181024,glucose,37,O2,9,642,55
20181024,glucose,37,O2,9,675,60
20181024,glucose,37,O2,9,736,65
20181024,glucose,37,O2,9,788,70
20181024,glucose,37,O2,9,882,75
20181024,glucose,37,O2,9,979,80
20181024,glucose,37,O2,9,1067,85
20181024,glucose,37,O2,9,1132,90
20181024,glucose,37,O2,9,1205,95
20181024,glucose,37,O2,9,1272,100
20181024,glucose,37,O2,9,1317,105
20181024,glucose,37,O2,9,1349,110
20181024,glucose,37,O2,9,1397,115
20181024,glucose,37,O2,9,1433,120
20181024,glucose,37,O2,9,1456,125
20181024,glucose,37,O2,9,1474,130
20181024,glucose,37,O2,9,1501,135
20181024,glucose,37,O2,9,1589,140
20181024,glucose,37,O2,9,1637,145
20181024,glucose,37,O2,9,1709,150
20181024,glucose,37,O2,9,1788,155
20181024,glucose,37,O2,9,1836,160
20181024,glucose,37,O2,9,1941,165
20181024,glucose,37,O2,9,2006,170
20181024,glucose,37,O2,9,2082,175
20181024,glucose,37,O2,9,2136,180
20181024,glucose,37,O2,9,2246,185
20181024,glucose,37,O2,9,2318,190
20181024,glucose,37,O2,9,2397,195
20181024,glucose,37,O2,9,2525,200
20181024,glucose,37,O2,9,2610,205
20181024,glucose,37,O2,9,2689,210
20181024,glucose,37,O2,9,2829,215
20181024,glucose,37,O2,9,2959,220
20181024,glucose,37,O2,9,3127,225
20181024,glucose,37,O2,9,3290,230
20181024,glucose,37,O2,9,3423,235
20181024,glucose,37,O2,9,3590,240
20181024,glucose,37,O2,9,3729,245
20181024,glucose,37,O2,9,3852,250
20181024,glucose,37,O2,9,3991,255
20181024,glucose,37,O2,9,4202,260
20181024,glucose,37,O2,9,4408,265
20181024,glucose,37,O2,9,4640,270
20181024,glucose,37,O2,9,4830,275
20181024,glucose,37,O2,9,5126,280
20181024,glucose,37,O2,9,5324,285
20181024,glucose,37,O2,9,5576,290
20181024,glucose,37,O2,9,5800,295
20181024,glucose,37,O2,9,6122,300
20181024,glucose,37,O2,9,6389,305
20181024,glucose,37,O2,9,6627,310
20181024,glucose,37,O2,9,6922,315
20181024,glucose,37,O2,9,7168,320
20181024,glucose,37,O2,9,7389,325
20181024,glucose,37,O2,9,7616,330
20181024,glucose,37,O2,9,7825,335
20181024,glucose,37,O2,9,8075,340
20181024,glucose,37,O2,9,8347,345
20181024,glucose,37,O2,9,9157,350
20181024,glucose,37,O2,9,9727,355
20181024,glucose,37,O2,9,10253,360
20181024,glucose,37,O2,10,431,5
20181024,glucose,37,O2,10,448,10
20181024,glucose,37,O2,10,468,15
20181024,glucose,37,O2,10,485,20
20181024,glucose,37,O2,10,513,25
20181024,glucose,37,O2,10,530,30
20181024,glucose,37,O2,10,566,35
20181024,glucose,37,O2,10,597,40
20181024,glucose,37,O2,10,643,45
20181024,glucose,37,O2,10,680,50
20181024,glucose,37,O2,10,709,55
20181024,glucose,37,O2,10,728,60
20181024,glucose,37,O2,10,748,65
20181024,glucose,37,O2,10,809,70
20181024,glucose,37,O2,10,851,75
20181024,glucose,37,O2,10,895,80
20181024,glucose,37,O2,10,905,85
20181024,glucose,37,O2,10,902,90
20181024,glucose,37,O2,10,936,95
20181024,glucose,37,O2,10,937,100
20181024,glucose,37,O2,10,973,105
20181024,glucose,37,O2,10,987,110
20181024,glucose,37,O2,10,1012,115
20181024,glucose,37,O2,10,1038,120
20181024,glucose,37,O2,10,1053,125
20181024,glucose,37,O2,10,1094,130
20181024,glucose,37,O2,10,1138,135
20181024,glucose,37,O2,10,1204,140
20181024,glucose,37,O2,10,1238,145
20181024,glucose,37,O2,10,1298,150
20181024,glucose,37,O2,10,1373,155
20181024,glucose,37,O2,10,1413,160
20181024,glucose,37,O2,10,1463,165
20181024,glucose,37,O2,10,1525,170
20181024,glucose,37,O2,10,1567,175
20181024,glucose,37,O2,10,1627,180
20181024,glucose,37,O2,10,1679,185
20181024,glucose,37,O2,10,1771,190
20181024,glucose,37,O2,10,1843,195
20181024,glucose,37,O2,10,1921,200
20181024,glucose,37,O2,10,1988,205
20181024,glucose,37,O2,10,2107,210
20181024,glucose,37,O2,10,2199,215
20181024,glucose,37,O2,10,2315,220
20181024,glucose,37,O2,10,2445,225
20181024,glucose,37,O2,10,2537,230
20181024,glucose,37,O2,10,2637,235
20181024,glucose,37,O2,10,2741,240
20181024,glucose,37,O2,10,2825,245
20181024,glucose,37,O2,10,2904,250
20181024,glucose,37,O2,10,2999,255
